VIN,USER,LATITUDE,LONGITUDE,MODEL,DATE,TIRE01,TIRE02,TIRE03,TIRE04,TMAX,TMIN
V34814AC54A000001,"ANDREA GIRARDI, TO IT",104.9631,112.9164,3481,2018-01-28,0.31,2.18,0.73,0.36,25,2
V33064AC54A000005,"GUIDO ROSSATTO, PA FR",209.3626,301.8549,3306,2018-01-06,0.7,3.83,1.37,0.18,18,-2
V31934AC54A000006,"DARIO CERESER, PA IT",314.455,63.3088,3193,2018-01-15,2.7,1.59,2.9,3.31,20,5
V15074AC54A000002,"GIACINTO CAMPANALE, MO IT",131.6748,47.7061,1507,2018-01-22,0.57,2.43,4.69,3.69,27,3
V34814AC54A000001,"ANDREA GIRARDI, TO IT",225.9234,272.7632,3481,2018-01-06,4.31,0.74,2.6,0.17,21,-1
V33434AC54A000004,"FRANCESCO RUA, LO UK",177.4972,183.1946,3343,2018-01-13,4.71,4.82,1.33,0.11,14,2
V31934AC54A000006,"DARIO CERESER, PA IT",104.8882,73.1895,3193,2018-01-29,4.78,2.1,4.86,4.56,27,7
V35704AC54A000003,"MARIANO FIORENTINO, MI IT",290.4867,64.9342,3570,2018-01-09,0.88,4.68,0.11,0.52,17,9
V33434AC54A000004,"FRANCESCO RUA, LO UK",221.2185,126.4638,3343,2018-01-20,3.49,2.08,0.33,1.64,21,6
V31934AC54A000006,"DARIO CERESER, PA IT",246.1473,22.1245,3193,2018-01-27,3.58,0.42,0.41,0.09,25,8
V31934AC54A000006,"DARIO CERESER, PA IT",143.0737,338.9256,3193,2018-01-10,1.95,2.58,3.47,3.72,15,10
V15074AC54A000002,"GIACINTO CAMPANALE, MO IT",136.1623,62.0648,1507,2018-01-21,4.98,0.81,3.36,3.66,27,-2
V33434AC54A000004,"FRANCESCO RUA, LO UK",276.6271,302.9075,3343,2018-01-16,1.58,4.05,4.82,3.93,17,10
V33064AC54A000005,"GUIDO ROSSATTO, PA FR",308.5082,112.6993,3306,2018-01-18,2.51,3.68,3.55,0.76,28,9
V33434AC54A000004,"FRANCESCO RUA, LO UK",71.5692,285.2967,3343,2018-05-14,4.17,2.78,0.29,0.69,11,1
V15074AC54A000002,"GIACINTO CAMPANALE, MO IT",223.3487,182.1932,1507,2018-01-04,0.44,4.89,3.88,2.63,16,7
V34814AC54A000001,"ANDREA GIRARDI, TO IT",272.394,63.126,3481,2018-01-14,2.59,4.86,4.66,0.41,10,8
V33434AC54A000004,"FRANCESCO RUA, LO UK",4.7117,255.5408,3343,2018-01-09,2.85,0.37,0.87,3.68,13,5
V34814AC54A000001,"ANDREA GIRARDI, TO IT",35.4648,106.1983,3481,2018-01-15,4.35,4.24,1.87,0.89,29,7
V33434AC54A000004,"FRANCESCO RUA, LO UK",187.9461,108.204,3343,2018-01-31,0.72,3.44,3.14,4.98,26,-4
V31934AC54A000006,"DARIO CERESER, PA IT",251.8628,246.74,3193,2018-01-07,0.24,2.53,4.72,2.91,30,7
V35704AC54A000003,"MARIANO FIORENTINO, MI IT",202.9599,296.7829,3570,2018-01-03,0.5,0.07,0.34,2.12,20,-3
V35704AC54A000003,"MARIANO FIORENTINO, MI IT",296.0159,336.0873,3570,2018-01-26,0.91,2.9,1.32,2.62,20,8
V33434AC54A000004,"FRANCESCO RUA, LO UK",93.2408,186.7167,3343,2018-01-29,1.64,4.62,0.28,0.18,24,3
V34814AC54A000001,"ANDREA GIRARDI, TO IT",260.109,188.4033,3481,2018-02-02,3.59,0.61,0.89,2.08,11,-4
V33434AC54A000004,"FRANCESCO RUA, LO UK",250.6566,37.017,3343,2018-01-15,0.67,3.36,1.53,3.05,28,10
V34814AC54A000001,"ANDREA GIRARDI, TO IT",214.276,71.4264,3481,2018-01-09,1.54,2.85,1.34,0.58,10,2
V31934AC54A000006,"DARIO CERESER, PA IT",66.0378,122.0312,3193,2018-01-25,4.27,3.56,4.12,4.78,13,-4
V15074AC54A000002,"GIACINTO CAMPANALE, MO IT",272.5724,124.2493,1507,2018-01-31,3.92,0.05,1.17,4.17,24,6
V33434AC54A000004,"FRANCESCO RUA, LO UK",-4.459,310.2378,3343,2018-01-12,3.83,0.33,0.8,0.41,21,-4
V31934AC54A000006,"DARIO CERESER, PA IT",204.7296,322.1305,3193,2018-01-20,3.18,1.47,3.27,0.81,18,5
V33434AC54A000004,"FRANCESCO RUA, LO UK",22.7939,280.0728,3343,2018-01-22,4.04,4.02,1.38,3.77,28,1
V33434AC54A000004,"FRANCESCO RUA, LO UK",213.6903,88.3355,3343,2018-01-03,2.93,2.43,2.91,3.95,22,4
V33434AC54A000004,"FRANCESCO RUA, LO UK",96.8207,192.7876,3343,2018-01-04,2.92,0.36,2.61,4.68,17,-4
V33434AC54A000004,"FRANCESCO RUA, LO UK",178.925,253.0111,3343,2018-01-05,3.37,0.66,2.61,1.64,30,-5
V15074AC54A000002,"GIACINTO CAMPANALE, MO IT",205.7503,202.3376,1507,2018-01-30,1,1.23,1.16,3.24,30,6
V34814AC54A000001,"ANDREA GIRARDI, TO IT",65.5301,339.089,3481,2018-01-07,2.12,4.39,1.36,3.95,17,-2
V33064AC54A000005,"GUIDO ROSSATTO, PA FR",266.3039,62.3025,3306,2018-01-05,1.82,3.11,2.14,3.53,16,1
V33064AC54A000005,"GUIDO ROSSATTO, PA FR",239.107,-4.7778,3306,2018-01-20,2.72,4.47,0.59,1.09,19,3
V15074AC54A000002,"GIACINTO CAMPANALE, MO IT",9.0653,89.8378,1507,2018-01-26,1.53,1.08,0.67,4.26,16,7
V33434AC54A000004,"FRANCESCO RUA, LO UK",66.4223,75.7519,3343,2018-02-02,3.42,3.31,4.52,4.84,25,3
V33434AC54A000004,"FRANCESCO RUA, LO UK",119.5322,66.6573,3343,2018-01-17,0.03,0.73,4.12,3.96,20,10
V35704AC54A000003,"MARIANO FIORENTINO, MI IT",21.8497,307.7056,3570,2018-01-14,3.7,2.87,2.19,0.47,12,0
V35704AC54A000003,"MARIANO FIORENTINO, MI IT",134.9476,217.0473,3570,2018-01-28,1.04,0.4,2.21,3.05,30,-3
V34814AC54A000001,"ANDREA GIRARDI, TO IT",279.593,204.8268,3481,2018-01-30,1.09,4.3,4.07,2.22,23,4
V35704AC54A000003,"MARIANO FIORENTINO, MI IT",116.9142,122.9112,3570,2018-01-18,3.69,1.42,2.95,0.49,12,10
V33064AC54A000005,"GUIDO ROSSATTO, PA FR",291.6896,168.6357,3306,2018-01-11,0.67,1.83,0.19,4.16,10,-5
V31934AC54A000006,"DARIO CERESER, PA IT",159.7886,75.8465,3193,2018-01-01,3.16,3.68,1.37,2.33,29,5
V34814AC54A000001,"ANDREA GIRARDI, TO IT",251.7969,76.5215,3481,2018-01-22,4.91,3.29,2.79,4.53,30,4
V34814AC54A000001,"ANDREA GIRARDI, TO IT",74.8575,6.2522,3481,2018-01-31,2.74,4.16,4.06,4.73,28,-2
V34814AC54A000001,"ANDREA GIRARDI, TO IT",304.758,216.8655,3481,2018-01-19,1.16,4.67,0.67,0.68,29,9
V35704AC54A000003,"MARIANO FIORENTINO, MI IT",150.2953,129.468,3570,2018-01-12,0,0.86,1.55,4,29,10
V33434AC54A000004,"FRANCESCO RUA, LO UK",201.9502,71.1952,3343,2018-01-19,4.53,1.55,2.98,2.25,12,3
V35704AC54A000003,"MARIANO FIORENTINO, MI IT",286.902,248.9438,3570,2018-01-02,4.39,4.67,1.49,1.07,21,-2
V33064AC54A000005,"GUIDO ROSSATTO, PA FR",302.4141,163.3711,3306,2018-01-27,3.38,4.55,4.65,0.08,30,7
V34814AC54A000001,"ANDREA GIRARDI, TO IT",209.6234,56.4418,3481,2018-01-05,3.82,1.55,4.67,3,29,8
V31934AC54A000006,"DARIO CERESER, PA IT",139.7634,315.803,3193,2018-01-18,0.15,1.38,1.33,3.37,14,5
V33064AC54A000005,"GUIDO ROSSATTO, PA FR",214.8522,249.269,3306,2018-01-30,2.86,2.74,1.77,3.81,26,9
V34814AC54A000001,"ANDREA GIRARDI, TO IT",134.8776,252.6981,3481,2018-01-23,4.98,3.31,0.98,2.49,12,9
V33064AC54A000005,"GUIDO ROSSATTO, PA FR",113.5099,324.5407,3306,2018-01-26,4.8,0.31,3.12,2.47,20,-3
V35704AC54A000003,"MARIANO FIORENTINO, MI IT",154.3738,210.3413,3570,2018-01-21,4.42,2.98,4.93,0.08,17,-2
V33434AC54A000004,"FRANCESCO RUA, LO UK",149.9106,70.4762,3343,2018-01-30,0.31,0.67,3.99,0.28,17,4
V15074AC54A000002,"GIACINTO CAMPANALE, MO IT",134.8618,294.4057,1507,2018-01-16,3.11,1.6,0.56,2.9,14,10
V31934AC54A000006,"DARIO CERESER, PA IT",116.4059,254.7251,3193,2018-01-11,0.12,3.38,3.03,0.15,17,3
V33064AC54A000005,"GUIDO ROSSATTO, PA FR",72.9788,204.294,3306,2018-01-10,0.54,2.7,3.55,1.76,12,8
V33064AC54A000005,"GUIDO ROSSATTO, PA FR",83.8103,169.7248,3306,2018-01-21,4.1,3.04,1.18,0.5,18,7
V15074AC54A000002,"GIACINTO CAMPANALE, MO IT",281.2064,224.5129,1507,2018-01-08,0.67,0.09,1.68,2.33,29,7
V34814AC54A000001,"ANDREA GIRARDI, TO IT",47.6094,135.0893,3481,2018-01-12,4.4,1.43,3.74,1,22,10
V33434AC54A000004,"FRANCESCO RUA, LO UK",289.4683,63.0766,3343,2018-01-14,1.75,2.46,3.2,4.11,15,-4
V35704AC54A000003,"MARIANO FIORENTINO, MI IT",109.9476,137.0299,3570,2018-01-06,0.15,2.7,2.91,2.88,30,8
V34814AC54A000001,"ANDREA GIRARDI, TO IT",172.5097,36.9435,3481,2018-01-25,3.88,2.11,1.77,0.08,20,7
V31934AC54A000006,"DARIO CERESER, PA IT",297.3984,184.8059,3193,2018-01-09,1.12,3.81,3.49,1.1,27,7
V33064AC54A000005,"GUIDO ROSSATTO, PA FR",163.0576,104.4824,3306,2018-01-23,1.9,0.43,0.93,4.69,10,-3
V34814AC54A000001,"ANDREA GIRARDI, TO IT",194.515,44.208,3481,2018-01-20,2.81,3.05,4.1,1.19,10,3
V15074AC54A000002,"GIACINTO CAMPANALE, MO IT",170.7623,164.9715,1507,2018-01-02,0.96,2.42,0.24,2.37,11,7
V31934AC54A000006,"DARIO CERESER, PA IT",13.1631,328.0716,3193,2018-01-05,0.63,3.84,1.45,2.8,22,10
V15074AC54A000002,"GIACINTO CAMPANALE, MO IT",106.9204,5.1272,1507,2018-01-28,2.38,2.98,0.83,4.56,11,-5
V31934AC54A000006,"DARIO CERESER, PA IT",37.6339,83.8223,3193,2018-01-24,0.64,1.5,0.19,2.94,18,6
V15074AC54A000002,"GIACINTO CAMPANALE, MO IT",114.9792,152.666,1507,2018-01-19,2.24,2.28,2.7,2.12,28,4
V15074AC54A000002,"GIACINTO CAMPANALE, MO IT",65.5394,58.0522,1507,2018-01-29,4.12,0.46,0.9,1.08,12,5
V15074AC54A000002,"GIACINTO CAMPANALE, MO IT",166.8216,216.8953,1507,2018-01-13,0.26,2.86,1.36,1.27,16,7
V35704AC54A000003,"MARIANO FIORENTINO, MI IT",104.4878,298.1277,3570,2018-01-04,3.79,4.28,3.48,3.79,13,4
V35704AC54A000003,"MARIANO FIORENTINO, MI IT",284.8332,296.3374,3570,2018-02-02,1.41,0.8,1.33,0.04,13,-5
V34814AC54A000001,"ANDREA GIRARDI, TO IT",-15.4587,190.8283,3481,2018-01-08,3.98,1.16,3.76,1.25,15,6
V35704AC54A000003,"MARIANO FIORENTINO, MI IT",129.7498,233.3839,3570,2018-01-11,2.73,3.66,3.87,3.07,20,9
V15074AC54A000002,"GIACINTO CAMPANALE, MO IT",226.4546,38.0165,1507,2018-01-03,2.33,2.36,0.64,3.38,18,-5
V35704AC54A000003,"MARIANO FIORENTINO, MI IT",294.2871,135.9816,3570,2018-01-25,3.02,2.46,1.58,2.01,24,7
V35704AC54A000003,"MARIANO FIORENTINO, MI IT",25.6939,29.3401,3570,2018-01-05,0.42,1,1.25,2.78,27,8
V31934AC54A000006,"DARIO CERESER, PA IT",82.5504,186.3494,3193,2018-01-26,2.67,0.45,2.36,4.31,18,2
V31934AC54A000006,"DARIO CERESER, PA IT",92.2394,31.9636,3193,2018-01-23,1.04,3.77,1.71,2.32,25,-3
V15074AC54A000002,"GIACINTO CAMPANALE, MO IT",235.227,276.7263,1507,2018-01-18,1.3,0.93,0.06,2.57,21,-2
V33434AC54A000004,"FRANCESCO RUA, LO UK",86.166,17.3333,3343,2018-05-13,4.31,3.08,0.94,4.5,11,8
V34814AC54A000001,"ANDREA GIRARDI, TO IT",340.5585,12.1517,3481,2018-01-24,0.63,1.78,4.61,2.2,10,6
V35704AC54A000003,"MARIANO FIORENTINO, MI IT",189.008,224.9718,3570,2018-02-01,0.37,2.07,0.07,0.46,25,-2
V35704AC54A000003,"MARIANO FIORENTINO, MI IT",111.095,340.2757,3570,2018-01-29,0.14,4.16,3.76,4.82,25,6
V34814AC54A000001,"ANDREA GIRARDI, TO IT",150.9031,163.3042,3481,2018-01-18,1.17,0.11,4.92,0.91,12,10
V31934AC54A000006,"DARIO CERESER, PA IT",26.231,148.2008,3193,2018-01-30,2.94,2.83,4.37,4.76,12,10
V33434AC54A000004,"FRANCESCO RUA, LO UK",313.519,227.5166,3343,2018-01-23,3.59,1.11,3.91,1.44,12,6
V31934AC54A000006,"DARIO CERESER, PA IT",80.5217,246.3559,3193,2018-02-01,4.4,0.67,0.35,1.47,25,8
V35704AC54A000003,"MARIANO FIORENTINO, MI IT",108.7601,-5.5557,3570,2018-01-17,1.67,2.33,4.3,4.94,16,7
V31934AC54A000006,"DARIO CERESER, PA IT",57.7807,159.4006,3193,2018-01-31,1.08,4.85,4.98,4.98,30,1
V33064AC54A000005,"GUIDO ROSSATTO, PA FR",333.2568,214.4926,3306,2018-01-12,0.32,1.03,3.72,3.38,17,6
V35704AC54A000003,"MARIANO FIORENTINO, MI IT",70.9596,144.1606,3570,2018-01-23,2.39,2.12,4.99,2.19,20,0
V34814AC54A000001,"ANDREA GIRARDI, TO IT",18.6342,40.5871,3481,2018-01-04,3.07,1.59,4.95,1.7,15,-4
V33434AC54A000004,"FRANCESCO RUA, LO UK",107.8079,334.5954,3343,2018-01-08,2.42,0.84,4.07,1.32,21,4
V35704AC54A000003,"MARIANO FIORENTINO, MI IT",317.5645,114.1578,3570,2018-01-07,1.21,0.49,1.2,0.98,20,4
V31934AC54A000006,"DARIO CERESER, PA IT",202.3153,73.7959,3193,2018-01-12,4.7,2.12,3.11,2.15,19,6
V33064AC54A000005,"GUIDO ROSSATTO, PA FR",105.5978,168.152,3306,2018-01-13,2.13,1.76,4.46,3.76,16,-4
V15074AC54A000002,"GIACINTO CAMPANALE, MO IT",331.9339,133.0147,1507,2018-01-15,2.02,2.56,4.72,4.4,23,9
V35704AC54A000003,"MARIANO FIORENTINO, MI IT",38.7769,327.0797,3570,2018-01-15,3.92,0.22,4.4,3.73,17,3
V35704AC54A000003,"MARIANO FIORENTINO, MI IT",220.5827,77.726,3570,2018-01-01,4.18,1.29,4.68,1.89,14,5
V33064AC54A000005,"GUIDO ROSSATTO, PA FR",127.0311,164.0902,3306,2018-02-01,4.19,0.33,0.36,2.43,16,10
V33434AC54A000004,"FRANCESCO RUA, LO UK",307.4332,320.7186,3343,2018-01-28,0.83,3.59,2.62,4.94,20,1
V15074AC54A000002,"GIACINTO CAMPANALE, MO IT",3.3528,15.0797,1507,2018-01-01,0.27,2.73,3.98,0.44,26,-3
V35704AC54A000003,"MARIANO FIORENTINO, MI IT",101.4756,42.2182,3570,2018-01-22,2.23,3.61,4.57,3.39,26,0
V33064AC54A000005,"GUIDO ROSSATTO, PA FR",268.7549,49.8301,3306,2018-01-31,3.48,1.33,4.66,0.48,21,5
V15074AC54A000002,"GIACINTO CAMPANALE, MO IT",221.8672,157.0429,1507,2018-01-25,0.1,3.89,4.73,2.98,21,6
V35704AC54A000003,"MARIANO FIORENTINO, MI IT",53.0084,160.1794,3570,2018-01-20,4.82,3.3,0.88,0.05,17,1
V33434AC54A000004,"FRANCESCO RUA, LO UK",24.0609,-11.2116,3343,2018-01-10,1.35,3.92,4.22,2.36,10,-5
V34814AC54A000001,"ANDREA GIRARDI, TO IT",331.1636,125.2227,3481,2018-01-17,4.75,4.39,4.44,1,29,4
V33064AC54A000005,"GUIDO ROSSATTO, PA FR",-8.2838,71.0451,3306,2018-01-07,2,0.42,3.97,3.34,19,4
V15074AC54A000002,"GIACINTO CAMPANALE, MO IT",215.8496,233.5452,1507,2018-01-11,4.45,2.27,0.18,3.58,11,1
V33434AC54A000004,"FRANCESCO RUA, LO UK",74.3908,95.6465,3343,2018-01-24,3.87,1.78,4.58,1.88,15,-1
V33434AC54A000004,"FRANCESCO RUA, LO UK",85.3579,22.4862,3343,2018-01-26,1.06,0.17,3.99,2.51,24,0
V34814AC54A000001,"ANDREA GIRARDI, TO IT",271.0129,107.9487,3481,2018-01-16,1.53,4.11,0.33,2.3,19,-1
V15074AC54A000002,"GIACINTO CAMPANALE, MO IT",207.5051,-5.5661,1507,2018-01-06,4.44,3.54,1.15,2.42,21,-2
V33434AC54A000004,"FRANCESCO RUA, LO UK",39.1361,89.1414,3343,2018-01-06,1.99,1.52,0.22,2.19,15,5
V35704AC54A000003,"MARIANO FIORENTINO, MI IT",79.2778,10.1522,3570,2018-01-02,2.91,1.98,2.94,0.4,25,4
V15074AC54A000002,"GIACINTO CAMPANALE, MO IT",309.9744,265.5895,1507,2018-01-20,4.66,3.01,3.12,0.57,26,-2
V31934AC54A000006,"DARIO CERESER, PA IT",102.2591,299.1382,3193,2018-01-21,0.57,4.28,3.64,2.88,19,-4
V34814AC54A000001,"ANDREA GIRARDI, TO IT",9.2188,165.2067,3481,2018-01-11,4.06,3.56,4.85,1.77,16,3
V15074AC54A000002,"GIACINTO CAMPANALE, MO IT",13.8351,227.0108,1507,2018-01-14,3.53,3.62,0.75,4.58,29,-1
V15074AC54A000002,"GIACINTO CAMPANALE, MO IT",223.6356,200.8601,1507,2018-01-23,2.76,1.79,4.53,2.51,23,0
V33064AC54A000005,"GUIDO ROSSATTO, PA FR",14.1843,39.9313,3306,2018-01-28,2.69,0.95,0.66,1.9,28,6
V34814AC54A000001,"ANDREA GIRARDI, TO IT",-6.555,200.8058,3481,2018-01-13,2.11,1.95,2.83,4.7,21,7
V35704AC54A000003,"MARIANO FIORENTINO, MI IT",89.0465,6.055,3570,2018-01-10,0.52,3.55,2.46,3.31,15,2
V15074AC54A000002,"GIACINTO CAMPANALE, MO IT",110.482,106.1558,1507,2018-02-01,3.21,2.37,4.41,1.53,29,-2
V35704AC54A000003,"MARIANO FIORENTINO, MI IT",228.2745,14.0132,3570,2018-01-24,4.36,1.6,2.27,4.13,18,4
V33434AC54A000004,"FRANCESCO RUA, LO UK",-17.8623,135.3769,3343,2018-01-18,0.62,3.23,2.25,4.19,29,-2
V31934AC54A000006,"DARIO CERESER, PA IT",280.166,168.4277,3193,2018-01-17,3.66,0.21,0.65,3.4,13,1
V31934AC54A000006,"DARIO CERESER, PA IT",341.0824,235.8196,3193,2018-01-22,1.34,0.88,1.31,1.86,30,3
V33064AC54A000005,"GUIDO ROSSATTO, PA FR",341.5774,42.4553,3306,2018-01-04,3.82,4.28,0.63,0.12,12,2
V15074AC54A000002,"GIACINTO CAMPANALE, MO IT",100.7695,82.279,1507,2018-01-17,1.54,1.43,3.98,2.45,27,0
V33064AC54A000005,"GUIDO ROSSATTO, PA FR",63.8182,7.3652,3306,2018-01-02,3.96,3.75,3.68,1.56,17,-2
V15074AC54A000002,"GIACINTO CAMPANALE, MO IT",136.7214,162.5875,1507,2018-01-10,3.54,0.87,4.81,1.47,22,-5
V34814AC54A000001,"ANDREA GIRARDI, TO IT",294.3276,139.1459,3481,2018-02-01,1.22,1.86,1.4,0.93,29,8
V33064AC54A000005,"GUIDO ROSSATTO, PA FR",133.5955,170.2369,3306,2018-01-08,0.55,4.46,2.12,1.75,17,2
V33434AC54A000004,"FRANCESCO RUA, LO UK",34.131,122.1442,3343,2018-01-25,4.08,3.77,0.14,2.1,28,4
V34814AC54A000001,"ANDREA GIRARDI, TO IT",198.0328,284.0341,3481,2018-01-27,1.68,2.71,3.95,1.27,13,2
V31934AC54A000006,"DARIO CERESER, PA IT",51.0793,329.7356,3193,2018-01-19,2.1,3.02,1.32,3.8,14,6
V31934AC54A000006,"DARIO CERESER, PA IT",217.2863,114.7862,3193,2018-01-02,4.64,1.58,0.68,1.77,24,1
V31934AC54A000006,"DARIO CERESER, PA IT",8.8681,302.0256,3193,2018-01-13,4.83,3.54,4.64,0.73,13,5
V34814AC54A000001,"ANDREA GIRARDI, TO IT",23.632,179.0177,3481,2018-01-01,3.76,4.3,2.16,0.57,24,9
V31934AC54A000006,"DARIO CERESER, PA IT",91.8391,200.5824,3193,2018-01-14,2.04,4.46,2.06,4.23,22,10
V33434AC54A000004,"FRANCESCO RUA, LO UK",184.5604,319.7189,3343,2018-01-27,0.78,2.32,1.49,3.15,27,0
V33434AC54A000004,"FRANCESCO RUA, LO UK",105.5621,20.2008,3343,2018-01-07,3.09,0.35,4.69,4.81,23,0
V33064AC54A000005,"GUIDO ROSSATTO, PA FR",-1.251,294.1255,3306,2018-01-03,0.81,3.01,3.22,3.82,28,1
V33064AC54A000005,"GUIDO ROSSATTO, PA FR",193.1989,337.6974,3306,2018-01-29,2.69,4.46,0.32,4.25,14,1
V31934AC54A000006,"DARIO CERESER, PA IT",77.8173,188.5289,3193,2018-01-04,1.08,1.43,3.33,2.32,18,-2
V34814AC54A000001,"ANDREA GIRARDI, TO IT",107.6474,97.7368,3481,2018-01-29,0.81,2.16,4.03,4.64,16,7
V33064AC54A000005,"GUIDO ROSSATTO, PA FR",333.8613,120.119,3306,2018-01-17,0.02,3.85,3.54,3.47,27,3
V15074AC54A000002,"GIACINTO CAMPANALE, MO IT",99.4684,255.6897,1507,2018-01-05,3.95,2.58,4.24,1.87,27,6
